electric,GDP,Imports,Exports,Credits,India,agri_sect,ferti_Cons,agri_land,crop_produce,ict,financial,travel,transport,
2501.474,4.12E+12,5.12E+11,4.46E+11,4.87E+12,0.00E+00,1.03E+11,177.579,2756070,130.91,731699235.3,3000643263,6378061970,5441243554,1.44789E+12
2568.83,4.24E+12,5.46E+11,4.54E+11,5.33E+12,0.00E+00,1.11E+11,173.9349,2795620,140.64,707884610.1,3215473399,6473986290,5455559212,8.46217E+11
2619.961,4.26E+12,5.34E+11,4.47E+11,5.98E+12,0.00E+00,1.06E+11,173.0548,2835790,142.82,1446455332,1844486262,6842632759,5844292894,2.42893E+11
2520,4.11E+12,4.58E+11,4.77E+11,6.42E+12,0.00E+00,7.78E+10,160.6622,2840830,148.49,1571479659,1729918947,5843954547,4956072091,1.00879E+12
2500,3.98E+12,4.11E+11,4.81E+11,6.97E+12,0.00E+00,8.79E+10,186.0961,2835460,142.65,1803756100,1522739245,6023798709,5057814902,1.15723E+11
723.2355,9.21E+13,2.88E+13,2.29E+13,7.67E+13,1.00E+00,3.08E+11,163.122,1796420,136.19,67181997240,7609350107,17971501948,17506722603,70880684186
764.1987,9.80E+13,2.64E+13,2.47E+13,8.75E+13,1.00E+00,3.18E+11,156.4957,1796980,141.74,72256928539,8519925804,18397057718,16915742046,4.44061E+12
804.5142,1.05E+14,2.67E+13,2.51E+13,9.46E+13,1.00E+00,3.42E+11,163.4981,1797210,144.36,74792869587,7926103406,19700152559,18597110377,1.47574E+12
870,1.14E+14,2.51E+13,2.37E+13,1.04E+14,1.00E+00,3.40E+11,170.9836,1797210,139.61,76368457308,7329294376,21012654507,14319029979,8.67065E+11
1000,1.23E+14,2.62E+13,2.49E+13,1.14E+14,1.00E+00,3.72E+11,165.8482,1797210,142.83,76541497884,7209018174,22427367040,15175520472,2.2438E+11
4365.919,2.90E+12,8.77E+11,8.20E+11,2.52E+12,0.00E+00,8.60E+09,59.52336,968410,112.4,567794916.8,1185247017,9995912149,3136842941,1.045E+12
4285.477,2.97E+12,9.21E+11,8.53E+11,2.59E+12,0.00E+00,7.69E+09,57.71848,968410,116.64,601194938.7,1130268704,9244557373,3131834284,1.20256E+11
4197.907,3.03E+12,9.16E+11,8.84E+11,2.83E+12,0.00E+00,7.63E+09,65.01304,968410,123.42,604743847.1,1107465255,9338200697,3033779513,80080173914
4132,3.06E+12,9.66E+11,9.09E+11,3.06E+12,0.00E+00,6.63E+09,58.5116,968410,113.43,571737878.1,1060255085,8258692139,2470063113,3.67845E+12
4020,3.08E+12,9.29E+11,9.13E+11,3.35E+12,0.00E+00,6.59E+09,58.5116,968410,104.81,575632107,996745362.6,7919059325,2187313350,1.50432E+12
10407.74,1.56E+12,3.51E+11,2.78E+11,2.25E+12,0.00E+00,3.49E+10,46.61972,4054740,120.76,1803954390,2438395784,31556586838,6391664934,9.7516E+11
10220.89,1.60E+12,3.52E+11,2.93E+11,2.39E+12,0.00E+00,3.59E+10,49.2,3966153,110.85,2101542416,3099587632,30617136815,6064720740,2.14125E+11
10071.4,1.64E+12,3.44E+11,3.10E+11,2.63E+12,0.00E+00,3.25E+10,54.18585,4062690,109.06,2341552788,3529816272,33569197555,5946608164,9.64497E+11
9930,1.68E+12,3.47E+11,3.32E+11,2.85E+12,0.00E+00,3.21E+10,53.56257,3659130,110.24,2291322902,3471208181,34269445764,5078180091,1.26338E+11
