electric,GDP,Imports,Exports,Credits,India,gdpp,
2501.474,4.12E+12,5.12E+11,4.46E+11,4.87E+12,0.00E+00,1.921176,
2568.83,4.24E+12,5.46E+11,4.54E+11,5.33E+12,0.00E+00,3.004823,
2619.961,4.26E+12,5.34E+11,4.47E+11,5.98E+12,0.00E+00,0.503956,
2520,4.11E+12,4.58E+11,4.77E+11,6.42E+12,0.00E+00,-3.54576,
2500,3.98E+12,4.11E+11,4.81E+11,6.97E+12,0.00E+00,-3.30545,
723.2355,9.21E+13,2.88E+13,2.29E+13,7.67E+13,1.00E+00,5.456388,
764.1987,9.80E+13,2.64E+13,2.47E+13,8.75E+13,1.00E+00,6.386106,
804.5142,1.05E+14,2.67E+13,2.51E+13,9.46E+13,1.00E+00,7.410228,
870,1.14E+14,2.51E+13,2.37E+13,1.04E+14,1.00E+00,8.2,
1000,1.23E+14,2.62E+13,2.49E+13,1.14E+14,1.00E+00,7.1,
4365.919,2.90E+12,8.77E+11,8.20E+11,2.52E+12,0.00E+00,2.213355,
4285.477,2.97E+12,9.21E+11,8.53E+11,2.59E+12,0.00E+00,2.485201,
4197.907,3.03E+12,9.16E+11,8.84E+11,2.83E+12,0.00E+00,1.846992,
4132,3.06E+12,9.66E+11,9.09E+11,3.06E+12,0.00E+00,1.193733,
4020,3.08E+12,9.29E+11,9.13E+11,3.35E+12,0.00E+00,0.399088,
10407.74,1.56E+12,3.51E+11,2.78E+11,2.25E+12,0.00E+00,3.9009,
10220.89,1.60E+12,3.52E+11,2.93E+11,2.39E+12,0.00E+00,2.615722,
10071.4,1.64E+12,3.44E+11,3.10E+11,2.63E+12,0.00E+00,2.568707,
9930,1.68E+12,3.47E+11,3.32E+11,2.85E+12,0.00E+00,2.336075,
9920,1.72E+12,3.47E+11,3.54E+11,3.03E+12,0.00E+00,2.846755,
427.848,9.73E+12,1.53E+12,1.09E+12,9.27E+12,0.00E+00,3.507033,
457.8148,1.02E+13,1.55E+12,1.24E+12,1.11E+13,0.00E+00,4.396457,
447.501,1.06E+13,1.56E+12,1.23E+12,1.20E+13,0.00E+00,4.674708,
500,1.11E+13,1.53E+12,1.15E+12,1.34E+13,0.00E+00,4.731147,
520,1.18E+13,1.78E+12,1.13E+12,1.52E+13,0.00E+00,5.526736,
7998.347,5.07E+14,7.58E+13,7.50E+13,1.21E+15,0.00E+00,1.49509,
7988.583,5.17E+14,7.82E+13,7.56E+13,1.27E+15,0.00E+00,2.000268,
7819.715,5.19E+14,8.47E+13,8.26E+13,1.33E+15,0.00E+00,0.374719,
8000,5.26E+14,8.53E+13,8.50E+13,1.38E+15,0.00E+00,1.222921,
8110,5.29E+14,8.40E+13,8.65E+13,1.46E+15,0.00E+00,0.609093,
